DOI	SemanticScholar Citation Count	Note
10.18653/v1/2020.emnlp-main.525	17	
10.18653/v1/2020.emnlp-main.526	1	
10.18653/v1/2020.emnlp-main.527	12	
10.18653/v1/2020.emnlp-main.528	8	
10.18653/v1/2020.emnlp-main.529	3	
10.18653/v1/2020.emnlp-main.530	4	
10.18653/v1/2020.emnlp-main.531	16	
10.18653/v1/2020.emnlp-main.532	1	
10.18653/v1/2020.emnlp-main.533	10	
10.18653/v1/2020.emnlp-main.534	5	
10.18653/v1/2020.emnlp-main.535	8	
10.18653/v1/2020.emnlp-main.536	3	
10.18653/v1/2020.emnlp-main.537	6	
10.18653/v1/2020.emnlp-main.538	5	
10.18653/v1/2020.emnlp-main.539	5	
10.18653/v1/2020.emnlp-main.540	0	
10.18653/v1/2020.emnlp-main.541	13	
10.18653/v1/2020.emnlp-main.542	1	
10.18653/v1/2020.emnlp-main.543	2	
10.18653/v1/2020.emnlp-main.544	0	
10.18653/v1/2020.emnlp-main.545	1	
10.18653/v1/2020.emnlp-main.546	3	
10.18653/v1/2020.emnlp-main.547	3	
10.18653/v1/2020.emnlp-main.548	2	
10.18653/v1/2020.emnlp-main.549	10	
10.18653/v1/2020.emnlp-main.550	355	
10.18653/v1/2020.emnlp-main.551	1	
10.18653/v1/2020.emnlp-main.552	14	
10.18653/v1/2020.emnlp-main.553	4	
10.18653/v1/2020.emnlp-main.554	13	
10.18653/v1/2020.emnlp-main.555	11	
10.18653/v1/2020.emnlp-main.556	15	
10.18653/v1/2020.emnlp-main.557	32	
10.18653/v1/2020.emnlp-main.558	22	
10.18653/v1/2020.emnlp-main.559	10	
10.18653/v1/2020.emnlp-main.560	3	
10.18653/v1/2020.emnlp-main.561	3	
10.18653/v1/2020.emnlp-main.562	1	
10.18653/v1/2020.emnlp-main.563	8	
10.18653/v1/2020.emnlp-main.564	11	
10.18653/v1/2020.emnlp-main.565	2	
10.18653/v1/2020.emnlp-main.566	10	
10.18653/v1/2020.emnlp-main.567	21	
10.18653/v1/2020.emnlp-main.568	7	
